close,date,high,low,open
1184.47998,2015-05-07,1192.96997,1178.80005,1192.05005
1188.35999,2015-05-08,1194.08496,1181.69995,1184.19995
1183.94995,2015-05-11,1191.90002,1179.0,1188.69995
1194.12,2015-05-12,1197.30005,1180.80005,1183.95508
1215.82007,2015-05-13,1219.5,1191.31006,1193.84998
1221.18506,2015-05-14,1227.40503,1212.26001,1215.72998
1224.10999,2015-05-15,1226.30005,1211.05005,1221.05005
1225.42993,2015-05-18,1232.51001,1221.65002,1224.19995
1207.84998,2015-05-19,1225.875,1205.84998,1225.44995
1209.76501,2015-05-20,1213.66992,1203.09998,1207.81494
1206.34998,2015-05-21,1212.94995,1201.63501,1209.84998
1206.19995,2015-05-22,1215.09998,1201.55005,1206.30005
1206.82495,2015-05-25,1209.59998,1202.93994,1206.21509
1187.34998,2015-05-26,1207.80005,1185.59998,1207.32007
1187.97998,2015-05-27,1191.06006,1183.77002,1187.22998
1188.90503,2015-05-28,1192.40002,1180.58496,1188.19995
1190.56006,2015-05-29,1193.88501,1185.78491,1188.44995
1189.19995,2015-06-01,1204.5,1184.40002,1190.70508
1192.97498,2015-06-02,1196.48499,1185.80005,1189.23511
1185.05493,2015-06-03,1195.60498,1179.44995,1193.15002
1176.75,2015-06-04,1186.60999,1172.59998,1185.05005
1171.98999,2015-06-05,1178.68005,1162.5,1176.86011
1174.06494,2015-06-08,1177.76001,1169.09998,1172.04492
1176.91504,2015-06-09,1183.07996,1172.63501,1174.0249
1186.02002,2015-06-10,1192.55005,1175.15002,1176.89502
1182.11499,2015-06-11,1188.13,1175.55005,1186.13501
1181.62,2015-06-12,1184.48999,1176.75,1182.05005
1186.56494,2015-06-15,1190.80005,1172.69995,1181.505
1181.90991,2015-06-16,1188.09998,1176.15002,1186.42505
1185.55005,2015-06-17,1189.5,1174.65002,1182.15002
1202.01001,2015-06-18,1206.30005,1183.70996,1185.15002
1200.25,2015-06-19,1204.69995,1198.47498,1201.75
1185.98511,2015-06-22,1201.59998,1182.05005,1200.12
